Source,Target,Type,Id,Weight
dr_kuban,mihailaksel,Directed,985,1
drugoros_vrn,mihailaksel,Directed,986,1
rusfleet,epoddubny,Directed,1016,2
infantmilitario,epoddubny,Directed,1027,10
rybar,epoddubny,Directed,1069,158
brussinf,epoddubny,Directed,1073,83
voenacher,epoddubny,Directed,1082,55
RtrDonetsk,epoddubny,Directed,1106,78
romagolovanov,epoddubny,Directed,1148,5
aleksandr_skif,epoddubny,Directed,1157,6
vladlentatarsky,wargonzo,Directed,1168,16
vladlentatarsky,epoddubny,Directed,1173,8
RVvoenkor,epoddubny,Directed,1182,7
voenkorKotenok,epoddubny,Directed,1259,2
Andrafanaslive,epoddubny,Directed,1266,3
vladlentatarsky,voenacher,Directed,1276,479
rus_jansen,epoddubny,Directed,1337,1
rusich_army,epoddubny,Directed,1366,21
RVvoenkor,rybar,Directed,1369,24
boriskorchevnikov,epoddubny,Directed,1380,3
notes_veterans,epoddubny,Directed,1387,1
epoddubny,epoddubny,Directed,1391,2
rusich_army,vladlentatarsky,Directed,1396,79
kartezianec,epoddubny,Directed,1407,1
dva_majors,epoddubny,Directed,1472,1
infantmilitario,wargonzo,Directed,1481,35
sashakots,wargonzo,Directed,1488,246
wargonzo,wargonzo,Directed,1533,2
epoddubny,wargonzo,Directed,1545,60
Sladkov_plus,wargonzo,Directed,1552,60
RVvoenkor,wargonzo,Directed,1562,26
brussinf,wargonzo,Directed,1571,3
voenkorKotenok,wargonzo,Directed,1572,7
rusfleet,wargonzo,Directed,1603,1
adirect,wargonzo,Directed,1629,12
aleksandr_skif,wargonzo,Directed,1636,14
rybar,wargonzo,Directed,1648,5
mihailaksel,wargonzo,Directed,1661,7
RtrDonetsk,wargonzo,Directed,1698,66
beard_tim,wargonzo,Directed,1700,9
rusich_army,wargonzo,Directed,1730,93
mihailaksel,beard_tim,Directed,1736,20
Agdchan,wargonzo,Directed,1737,17
wargonzo,beard_tim,Directed,1739,349
voenacher,beard_tim,Directed,1748,87
interbrigady2022,wargonzo,Directed,1785,4
ImashevNB,wargonzo,Directed,1789,3
voenacher,wargonzo,Directed,1792,4
kvmalofeev,wargonzo,Directed,1802,1
wargonzo,Agdchan,Directed,1825,89
rossia_3,Agdchan,Directed,1853,197
vladlentatarsky,voenkorKotenok,Directed,1882,285
russdiary,wargonzo,Directed,1900,2
infantmilitario,Agdchan,Directed,1914,9
RVvoenkor,Agdchan,Directed,1915,6
spastv,wargonzo,Directed,1959,2
juchkovsky,wargonzo,Directed,1964,1
romagolovanov,Agdchan,Directed,1973,3
RDS_Official_channel,RDS_official_smi,Directed,2010,403
soldat_prav,RDS_official_smi,Directed,2012,185
rusjuche,wargonzo,Directed,2038,1
vladlentatarsky,Agdchan,Directed,2049,28
rossia_3,wargonzo,Directed,2075,2
dva_majors,wargonzo,Directed,2145,1
voenkorKotenok,aleksandr_skif,Directed,2163,7
Sladkov_plus,aleksandr_skif,Directed,2165,2
vladlentatarsky,aleksandr_skif,Directed,2183,2
voenkorKotenok,Agdchan,Directed,2187,9
spastv,aleksandr_skif,Directed,2192,1
boriskorchevnikov,aleksandr_skif,Directed,2204,4
wargonzo,o_andrey_tkachev,Directed,2263,1
Andrafanaslive,o_andrey_tkachev,Directed,2271,7
kartezianec,o_andrey_tkachev,Directed,2297,1
romagolovanov,o_andrey_tkachev,Directed,2310,3
vladlentatarsky,o_andrey_tkachev,Directed,2344,1
kvmalofeev,o_andrey_tkachev,Directed,2347,2
rus_jansen,o_andrey_tkachev,Directed,2348,1
rusfleet,o_andrey_tkachev,Directed,2380,1
voenkorKotenok,o_andrey_tkachev,Directed,2395,1
aleksandr_skif,o_andrey_tkachev,Directed,2397,1
spastv,o_andrey_tkachev,Directed,2408,3
boriskorchevnikov,o_andrey_tkachev,Directed,2409,14
obshina_ru,o_andrey_tkachev,Directed,2414,2
o_andrey_tkachev,Agdchan,Directed,2422,29
sashakots,o_andrey_tkachev,Directed,2433,2
Sladkov_plus,o_andrey_tkachev,Directed,2435,1
RVvoenkor,o_andrey_tkachev,Directed,2440,1
Agdchan,o_andrey_tkachev,Directed,2444,1
voenacher,o_andrey_tkachev,Directed,2468,1
Agdchan,Agdchan,Directed,2477,5
sashakots,Agdchan,Directed,2501,8
rybar,Agdchan,Directed,2512,7
kvmalofeev,Agdchan,Directed,2524,364
voenacher,Agdchan,Directed,2554,4
tsarkrest,Agdchan,Directed,2558,1
ghost_of_novorossia,soldat_prav,Directed,2604,52
